Abbreviations,Abréviation
Alternative energy,Énergie de remplacement
Alternative fuels,Carburant de remplacement
Alternative medicine,Médecine douce
Alzheimer's disease,Maladie d'Alzheimer
Amateur sports,Sport amateur
Amendments,Amendement
Amphibians,Amphibien
Analysis,Analyse
Analytics,Analytique
Anatomy,Anatomie
Animal diseases,Maladie animale
Animal health,Santé animale
Animal husbandry,Élevage
Animal inspection,Inspection des animaux
Animal migrations,Migration animale
Animal nutrition,Alimentation animale
Animal populations,Population animale
Animal reproduction,Reproduction animale
Animal research,Recherche sur les animaux
Animal rights,Droits des animaux
Animal testing,Expérimentation sur les animaux
Animals,Animal
Annual reports,Rapport annuel
Antarctic,Antarctique
Anthropology,Anthropologie
Anti-dumping,Droits antidumping
Apartment buildings,Immeuble d'habitation
Appeals,Appel
Apples,Pomme
Applicants,Demandeur
Applied research,Recherche appliquée
Appointments,Nomination
Approval processes,Procédure d'agrément
Aquaculture,Aquaculture
Aquariums,Aquarium
Aquatic animals,Animal aquatique
Aquatic birds,Oiseau aquatique
Aquatic ecosystems,Écosystème aquatique
Aquatic plants,Plante aquatique
Aquatic wildlife,Faune aquatique
Arachnids,Arachnide
Arbitration,Arbitrage
Archaeological investigations,Fouilles archéologiques
Archaeology,Archéologie
Architectural drawings,Dessin d'architecture
Architectural heritage,Patrimoine architectural
Architectural services,Service de l'architecture
Architecture,Architecture
Archives,Archives
Arctic,Arctique
Arctic ecosystems,Écosystème arctique
Armed forces,Forces armées
Armouries,Arsenal
Arms control,Contrôle des armements
Arrests,Arrestation
Art exhibitions,Exposition d'oeuvres d'art
Art galleries,Galerie d'art
Art works,Œuvre d'art
Artefacts,Artefact
Arthritis,Arthrite
Arthropods,Arthropode
Artificial insemination,Insémination artificielle
Artificial intelligence,Intelligence artificielle
Artists,Artiste
Arts,Arts
Asexual people,Personne asexuelle
Assessment,Évaluation
Assets,Actif
Assignments,Affectation
Assistive technologies,Technologie d'aide
Associations,Association
Astronaut training,Entraînement des astronautes
Astronauts,Astronaute
Astronomical observatories,Observatoire
Astronomy,Astronomie
Athletes,Athlète
Atlantic provinces,Provinces atlantiques
Atlases,Atlas
Atmospheric emissions,Émissions atmosphériques
Attitudes,Attitude
Auctions,Vente aux enchères
Audiovisual equipment,Équipement audiovisuel
Audit,Vérification
Authentication,Authentification
Authorization,Autorisation
Authors,Auteur
Automation,Automatisation
Automobile industry,Industrie de l'automobile
Automobile safety equipment,Équipement de sécurité automobile
Automobiles,Automobile
Avalanches,Avalanche
Aviation,Aviation
Aviation industry,Industrie de l'aéronautique
Awards,Récompense
Awareness,Sensibilisation
Bacteria,Bactérie
Bacteriology,Bactériologie
Banking,Opération bancaire
Bankruptcies,Faillite
Banks,Banque
Barley,Orge
Battlefields,Champ de bataille
Beans,Haricot
Beef cattle,Bovins de boucherie
Beekeeping,Apiculture
Beer,Bière
Behaviour,Comportement
Benchmarks,Repère
Beneficiaries,Bénéficiaire
Benefits,Avantages sociaux
Best practices,Meilleures pratiques
Beverage industry,Industrie des boissons
Beverages,Boisson
Bibliographic data interchange,Échange de données bibliographiques
Bibliographies,Bibliographie
Bicycle paths,Piste cyclable
Bicycle safety equipment,Équipement de sécurité cycliste
Bilingual services,Services bilingues
Bilingualism,Bilinguisme
Bills of sale,Acte de vente
Bioassay,Épreuve biologique
Biochemicals,Produit biochimique
Biochemistry,Biochimie
Biodegradation,Biodégradation
Bioenergy,Bioénergie
Bioethics,Bioéthique
Biographies,Biographie
Biological diversity,Diversité biologique
Biological products,Produit biologique
Biological warfare,Guerre biologique
Biological weapons,Arme biologique
Biology,Biologie
Biomass,Biomasse
Biomedical experiments,Expérimentation biomédicale
Biotechnology,Biotechnologie
Birds,Oiseau
Birth,Naissance
Birth certificates,Certificat de naissance
Birth rate,Taux de natalité
Bisexual people,Personne bisexuelle
Blindness,Cécité
Blood supply,Approvisionnement en sang
Board of directors,Conseil d'administration
Bonds,Obligations
Booklets,Brochure
Books,Livre
Border crossing,Passage des frontières
Boreal ecosystems,Écosystème boréal
Borrowers,Emprunteur
Botanical gardens,Jardin botanique
Botany,Botanique
Boundaries,Frontière
Boundary waters,Eaux limitrophes
Braille,Braille
Branches,Direction
Breast cancer,Cancer du sein
Bridges,Pont
Briefing papers,Document d'information
Broadcasting,Radiodiffusion
Broadcasting industry,Industrie de la radiodiffusion
Budget planning,Planification budgétaire
Budgets,Budget
Buildings,Bâtiment
Burials,Inhumation
Buses,Autobus
Business accelerators,Accélérateur d'entreprise
Business development,Développement de l'entreprise
Business incubators,Incubateur d'entreprises
Business intelligence,Renseignements d'affaires
Business loans,Prêt à l'entreprise
Business names,Nom commercial
Business numbers,Numéro d'entreprise
Business opportunities,Possibilité d'affaires
Business plans,Plan d'affaires
Business services,Services aux entreprises
Business start-ups,Démarrage d'une entreprise
Business types,Type d'entreprise
Businesses,Entreprise
Butter,Beurre
Butterflies,Papillon
Buyers,Acheteur
By-elections,Élection partielle
By-laws,Règlement administratif
Cabinet,Conseil des ministres
Cable television,Câblodistribution
Caisses populaires,Caisse populaire
Calendar year,Année civile
Call for tenders,Appel d'offres
Canadian-American relations,Relations canado-américaines
Canadian history,Histoire du Canada
Canadian identity,Identité canadienne
Canadian literature,Littérature canadienne
Canadian studies,Études canadiennes
Canals,Canal
Cancer,Cancer
Candidates,Candidat
Canola oil,Huile de canola
Capital,Capital
Capital markets,Marché de capitaux
Cardiovascular diseases,Maladie cardiovasculaire
Caregivers,Soignant
Carrots,Carotte
Cartographic records,Archives cartographiques
Cartography,Cartographie
Case studies,Étude de cas
Casinos,Casino
Catalogues,Catalogue
Cataloguing,Catalogage
Cattle,Bovins
CD-ROMs,Cédérom
Cells,Cellule
Cellular telephones,Téléphone cellulaire
Cemeteries,Cimetière
Censorship,Censure
Census,Recensement
Census data,Données du recensement
Central banks,Banque centrale
Central provinces,Provinces du Centre
Centralization,Centralisation
Ceramics,Céramique
Cereals,Céréale
Certificate of origin,Certificat d'origine
Certification,Accréditation
Change of address,Changement d'adresse
Charitable donations,Don de charité
Charitable organizations,Organisme de bienfaisance
Charter of rights and freedoms,Charte des droits et libertés
Charters,Charte
Cheese,Fromage
Chemical industry,Industrie chimique
Chemical warfare,Guerre chimique
Chemical weapons,Arme chimique
Chemicals,Produit chimique
Chemistry,Chimie
Chief Electoral Officer,Directeur général des élections
Chief Financial Officer,Directeur des finances
Chief Human Resources Officer,Dirigeant principal des ressources humaines
Chief Information Officer,Dirigeant principal de l'information
Child care,Soin de l'enfant
Child custody,Garde des enfants
Child development,Développement de l'enfant
Child poverty,Pauvreté dans l'enfance
Child safety,Sécurité de l'enfant
Child support,Pension alimentaire
Childhood,Enfance
Childhood diseases,Maladie infantile
Children,Enfant
Children's books,Livre pour enfant
Children's health,Santé de l'enfant
Children's literature,Littérature de jeunesse
Children's rights,Droits de l'enfant
Chronic diseases,Maladie chronique
Cinema,Cinéma
Citizen participation,Participation du citoyen
Citizenship,Citoyenneté
Citizenship documents,Preuve de citoyenneté
Civil aviation,Aviation civile
Civil law,Droit civil
Civil rights,Droits civils
Civilian aircraft,Aéronef civil
Claims,Revendication
Claims processing,Traitement des demandes
Classification,Classification
Clean technology,Technologie propre
Client satisfaction,Satisfaction du client
Clients,Client
Climate,Climat
Climate archives,Archives climatologiques
Climate change,Changement climatique
Cloning,Clonage
Clothing,Habillement
Clothing industry,Industrie du vêtement
Coaching,Assistance professionnelle
Coal,Charbon
Coast guard,Garde côtière
Coastal waters,Eaux côtières
Coasts,Littoral
Codes of practice,Code de pratiques
Coding,Codification
Coffee,Café
Coins,Pièce de monnaie
Collaborative research,Recherche coopérative
Collections,Collection
Collective agreements,Convention collective
Collective bargaining,Négociation collective
Colleges,Collège
Colonization,Colonisation
Commemoration,Commémoration
Commercial architecture,Architecture commerciale
Commercial buildings,Bâtiment commercial
Commercial law,Droit commercial
Commercial ships,Navire commercial
Commercialization,Commercialisation
Commissions of inquiry,Commission d'enquête
Committees,Comité
Commodities,Produit de base
Common-law unions,Union de fait
Commonwealth,Commonwealth
Communications,Communications
Communications equipment,Équipement de communications
Communications industry,Industrie des communications
Community development,Développement communautaire
Community education,Éducation communautaire
Community infrastructures,Infrastructure communautaire
Community justice,Justice communautaire
Community partnerships,Partenariat communautaire
Community programs,Programme communautaire
Community radio,Radio communautaire
Community relations,Relations communautaires
Community services,Services communautaires
Compact discs,Disque compact
Comparison,Comparaison
Competition,Concurrence
Competitiveness,Compétitivité
Complaints,Plainte
Compliance,Conformité
Composting,Compostage
Comptrollership,Fonction de contrôleur
Computer crime,Crime informatique
Computer networks,Réseau informatique
Computer programming,Programmation d'ordinateur
Computer science,Informatique
Computer security,Sécurité informatique
Computer services,Services informatiques
Computer systems,Système informatique
Computers,Ordinateur
Conciliation,Conciliation
Concrete,Béton
Conferences,Congrès
Confidentiality,Confidentialité
Conflict resolution,Résolution de conflit
Conflicts,Conflit
Conflicts of interest,Conflit d'intérêt
Conglomerates,Conglomérat
Conservation,Conservation
Conservation areas,Aire de conservation
Consortia,Consortium
Constitution,Constitution
Constitutional law,Droit constitutionnel
Construction,Construction
Construction industry,Industrie de la construction
Construction materials,Matériau de construction
Consular services,Services consulaires
Consultations,Consultation
Consulting,Service conseil
Consumer loans,Prêt à la consommation
Consumer products,Produit de consommation
Consumer protection,Protection du consommateur
Consumerism,Consommation
Consumers,Consommateur
Contact,Personne-ressource
Contaminated sites,Site contaminé
Continuing education,Éducation permanente
Contracting,Passation des marchés
Contracts,Contrat
Contravention,Contravention
Control,Contrôle
Conviction,Condamnation
Cooking,Art culinaire
Cooperation,Coopération
Cooperation agreements,Accord de coopération
Cooperative education,Enseignement coopératif
Cooperatives,Coopérative
Coordination,Coordination
Copyright,Droit d'auteur
Copyright clearance,Affranchissement des droits
Corn,Maïs
Coronavirus disease-19,Coronavirus du Covid-19
Coronavirus disease (COVID-19),Maladie à coronavirus (Covid-19)
Coronavirus disease 2019,Maladie à coronavirus 2019
Coronavirus diseases,Maladie à coronavirus
Coronavirus infections,Infections à coronavirus
Coronaviruses,Coronavirus
Corporate image,Image de marque
Corporate income tax,Impôt sur le revenu des sociétés
Corporate names,Raison sociale
Corporations,Sociétés
Correctional institutions,Établissement pénitentiaire
Correspondence,Correspondance
Corruption,Corruption
Cost benefit analysis,Analyse coût-bénéfice
Costs,Coût
Costume,Costume
Counselling services,Service d'orientation
Couples,Couple
Court appearances,Comparution
Court decisions,Décision du tribunal
Courts,Tribunal
COVID-19 (Disease),Maladie de la COVID-19
COVID-19 virus disease,"Covid-19, Virus du"
Crafts,Artisanat
Cream,Crème
Credit,Crédit
Credit unions,Société de crédit
Crime,Crime
Crime against humanity,Crime contre l'humanité
Crime prevention,Prévention de la criminalité
Criminal code,Code criminel
Criminal investigations,Enquête criminelle
Criminal justice,Justice pénale
Criminal law,Droit criminel
Criminal records,Casier judiciaire
Crisis,Crise
Crop insurance,Assurance-récolte
Crop rotation,Rotation des cultures
Crops,Cultures
Crown assets,Biens de la Couronne
Crown corporations,Société d'État
Crown lands,Terres de la Couronne
Cruise ships,Navire de croisière
Crustaceans,Crustacé
Cryptography,Cryptographie
Cultural development,Développement culturel
Cultural diversity,Diversité culturelle
Cultural events,Événement culturel
Cultural groups,Groupe culturel
Cultural heritage,Patrimoine culturel
Cultural industry,Industrie culturelle
Cultural institutions,Institution culturelle
Cultural policy,Politique culturelle
Cultural programming,Programmation culturelle
Cultural studies,Études culturelles
Culture,Culture
Currency,Monnaie
Curriculum,Curriculum
Customer services,Service à la clientèle
Customs,Coutume
Customs and excise,Douanes
Cycling,Cyclisme
Daily life,Vie quotidienne
Dairy cattle,Bovins laitiers
Dairy industry,Industrie laitière
Dairy products,Produit laitier
Dams,Barrage
Dance,Danse
Data dictionaries,Dictionnaire de données
Data mining,Exploration de données
Data processing,Traitement des données
Data protection,Protection des données
Databases,Base de données
Daycare,Garderie
Daylight saving time,Heure avancée
Deafness,Surdité
Death,Mort
Death certificates,Certificat de décès
Death rate,Taux de mortalité
Debt,Dette
Debt management,Gestion de la dette
Debt redemption,Remboursement de la dette
Debtors,Débiteur
Decentralization,Décentralisation
Decision making,Prise de décision
Decisions,Décision
Decontamination,Décontamination
Decorations,Décoration
Decorative arts,Arts décoratifs
Defaulted loans,Prêt non remboursé
Defence industry,Industrie de la défense
Defence policy,Politique de défense
Deficit,Déficit
Deforestation,Déboisement
Degenerative diseases,Maladie dégénérative
Delegation of authority,Délégation de pouvoir
Delegations,Délégation
Deliveries,Livraison
Demand,Demande
Demining,Déminage
Demographic data,Données démographiques
Demographic maps,Carte démographique
Demographic statistics,Statistiques démographiques
Demography,Démographie
Dental insurance,Assurance dentaire
Departmental relations,Relations ministérielles
Departments,Ministère
Deportation,Déportation
Design,Conception
Destroyers,Destroyer
Detection,Détection
Developing countries,Pays en développement
Development,Développement
Development tools,Outil de développement
Devolution,Transfert de responsabilités
Diabetes,Diabète
Diagnosis,Diagnostic
Diamonds,Diamant
Dictionaries,Dictionnaire
Diesel fuel,Carburant diesel
Digital collections,Collection numérique
Digital elevation data,Données numériques d'élévation
Digital libraries,Bibliothèque numérique
Digital recordings,Enregistrement numérique
Digital technology,Technologie numérique
Digitization,Numérisation
Digitized information,Information numérisée
Diplomatic missions,Mission diplomatique
Direct marketing,Marketing direct
Directories,Répertoire
Disabilities,Déficience
Disability pensions,Pension d'invalidité
Disadvantaged persons,Personne défavorisée
Disaster relief,Secours en cas de désastre
Disasters,Désastre
Disbursements,Décaissement
Discharge,Congédiement
Disclosure of wrongdoing,Divulgation d'actes fautifs
Discounts,Rabais
Discrimination,Discrimination
Diseases,Maladie
Dismissal,Révocation
Disposal services,Service d'aliénation
Dissolution,Dissolution
Distance education,Formation à distance
Distribution,Distribution
Diversification,Diversification
Divestiture,Dessaisissement
Division of powers,Répartition des pouvoirs
Divisions,Division
Divorce,Divorce
Domestic animals,Animal domestique
Domestic architecture,Architecture domestique
Domestic markets,Marché intérieur
Domestic trade,Commerce intérieur
Domestic waste,Déchets domestiques
Donations,Don
Drainage,Drainage
Drawings,Dessin
Drilling,Forage
Drinking water,Eau potable
Driver education,Cours de conduite automobile
Driving,Conduite
Drought,Sécheresse
Drug addiction,Toxicomanie
Drug education,Prévention de la toxicomanie
Drug insurance,Assurance médicaments
Drug labelling,Étiquetage des médicaments
Drug laws,Loi sur les médicaments
Drug use,Consommation de drogues
Drugs,Médicament
Dumping,Dumping
Duty to accommodate,Obligation d'adaptation
Earth sciences,Sciences de la terre
Earthquakes,Tremblement de terre
East-West relations,Relations est-ouest
Ecology,Écologie
Economic analysis,Analyse économique
Economic conditions,Conditions économiques
Economic crime,Crime économique
Economic development,Développement économique
Economic forecasting,Prévision économique
Economic history,Histoire économique
Economic impact,Impact économique
Economic indicators,Indicateur économique
Economic issues,Questions économiques
Economic policy,Politique économique
Economic regulations,Réglementation en matière d'économie
Economic research,Recherche économique
Economic sanctions,Sanction économique
Economic statistics,Statistiques économiques
Economic trends,Tendances économiques
Economics,Science économique
Economy,Économie
Ecosystems,Écosystème
Edible oils and fats,Huiles et gras comestibles
Education,Éducation / Enseignement
Education indicators,Indicateur de l'éducation
Education policy,Politique éducative
Educational funding,Financement de l'éducation
Educational guidance,Orientation scolaire
Educational institutions,Établissement d'enseignement
Educational resources,Ressources pédagogiques
Educational technology,Technologie éducative
Eggs,Oeuf
Elder abuse,Violence faite aux personnes âgées
Elderly care,Soin de la personne âgée
Elections,Élections
Electoral districts,Circonscription électorale
Electoral system,Système électoral
Electric power stations,Centrale électrique
Electric vehicles,Véhicule électrique
Electrical appliances,Appareil électrique
Electrical equipment,Équipement électrique
Electricity,Électricité
Electronic commerce,Commerce électronique
Electronic data interchange,Échange électronique d'information
Electronic documents,Document électronique
Electronic equipment,Équipement électronique
Electronic government,Gouvernement en ligne
Electronic information,Information électronique
Electronic mail,Courrier électronique
Electronic monitoring,Surveillance électronique
Electronic publishing,Édition électronique
Electronic waste,Déchets électroniques
Electronics,Électronique
Electronics industry,Industrie de l'électronique
Elementary education,Enseignement primaire
Elementary schools,École primaire
Eligibility,Admissibilité
Emblems,Emblème
Emergency preparedness,Protection civile
Emergency relief,Secours d'urgence
Emergency services,Services d'urgence
Emigration,Émigration
Emission control technology,Technologie antipollution
Employee discipline,Discipline du travail
Employers,Employeur
Employment,Emploi
Employment abroad,Emploi à l'étranger
Employment act,Loi sur l'emploi
Employment centres,Centre d'emploi
Employment equity,Équité en matière d'emploi
Employment insurance,Assurance-emploi
Employment opportunities,Possibilité d'emploi
Employment programs,Programme d'emploi
Encyclopaedias,Encyclopédie
Endangered species,Espèce menacée
Energy,Énergie
Energy conservation,Conservation de l'énergie
Energy efficiency,Rendement énergétique
Energy management,Gestion énergétique
Energy policy,Politique énergétique
Energy production,Production d'énergie
Energy supply,Disponibilités énergétiques
Energy technology,Technologie énergétique
Energy use,Consommation d'énergie
Enforcement,Contrôle d'application
Engineering,Ingénierie
English language,Anglais
English second language,Anglais langue seconde
Enrolment applications,Demande d'admission
Entitlement,Transfert de droit
Entomology,Entomologie
Entrepreneurs,Entrepreneur
Entrepreneurship,Entrepreneuriat
Entry to Canada,Entrée au Canada
Environment,Environnement
Environmental accidents,Accident environnemental
Environmental adaptation,Adaptation à l'environnement
Environmental agreements,Accord en matière d'environnement
Environmental economics,Économie de l'environnement
Environmental education,Éducation à l'environnement
Environmental emergencies,Urgence environnementale
Environmental hazards,Risque pour l'environnement
Environmental impact,Impact sur l'environnement
Environmental impact assessment,Évaluation environnementale
Environmental indicators,Indicateur environnemental
Environmental law,Droit de l'environnement
Environmental management,Gestion de l'environnement
Environmental policy,Politique environnementale
Environmental programs,Programme relatif à l'environnement
Environmental protection,Protection de l'environnement
Environmental quality,Qualité de l'environnement
Environmental sciences,Sciences de l'environnement
Environmental services,Services environnementaux
Environmental standards,Norme relative à l'environnement
Environmental technology,Technologie environnementale
Epidemics,Épidémie
Epidemiology,Épidémiologie
Equal opportunities,Égalité des chances
Equipment,Équipement
Equipment industry,Industrie de l'équipement
Ergonomics,Ergonomie
Erosion,Érosion
Estates,Succession
Estimates,Prévisions budgétaires
Estuaries,Estuaire
Ethics,Éthique
Ethnic groups,Groupe ethnique
Ethnic minorities,Minorité ethnique
Ethnology,Ethnologie
Euthanasia,Euthanasie
Evacuations,Évacuation
Evidence,Preuve
Exchange programs,Programme d'échanges
Exchange rates,Taux de change
Excise,Accise
Excise taxes,Taxe d'accise
Exclusion,Exclusion
Executives,Personnel de direction
Exemption,Dérogation
Expectations,Attentes
Expenditure management,Gestion des dépenses
Expenditures,Dépenses
Experiments,Expérimentation
Expertise,Expertise
Explorations,Exploration
Explosions,Explosion
Explosives,Explosif
Exports,Exportation
Expropriation,Expropriation
External relations,Relations extérieures
Extraction,Extraction
Extradition,Extradition
Family,Famille
Family allowances,Allocations familiales
Family businesses,Entreprise familiale
Family education,Éducation familiale
Family law,Droit de la famille
Family planning,Planification des naissances
Family violence,Violence familiale
Famine,Famine
Farm buildings,Bâtiment agricole
Farmlands,Terre agricole
Farms,Exploitation agricole
Feasibility studies,Étude de faisabilité
Federal contracts,Contrat du gouvernement fédéral
Federal departments,Ministère du gouvernement fédéral
Federal government,Gouvernement fédéral
Federal institutions,Institution fédérale
Federal programs,Programme fédéral
Federal provincial agreements,Accord fédéral-provincial
Federal provincial relations,Relations fédérales-provinciales
Federal taxes,Impôt fédéral
Federal territorial agreements,Accord fédéral-territorial
Federal territorial relations,Relations fédérales-territoriales
Fees,Frais
Ferries,Traversier
Fertility,Fécondité
Fertilizers,Engrais
Festivals,Festival
Fiduciary obligations,Obligation fiduciaire
Film industry,Industrie cinématographique
Finance,Finances
Financial analysis,Analyse financière
Financial assistance,Aide financière
Financial audit,Vérification comptable
Financial crisis,Crise financière
Financial institutions,Institution financière
Financial management,Gestion financière
Financial services,Services financiers
Financial statements,États financiers
Financing companies,Société de financement
Fines,Amende
Fire,Incendie
Fire prevention,Prévention des incendies
Firearms,Arme à feu
First Nations,Premières nations
Fiscal agreements,Accord fiscal
Fiscal assistance,Aide fiscale
Fiscal issues,Questions fiscales
Fiscal law,Droit fiscal
Fiscal policy,Politique fiscale
Fish,Poisson
Fish farming,Pisciculture
Fisheries,Pêcheries
Fisheries management,Gestion des pêches
Fisheries policy,Politique des pêches
Fisheries products,Produit de la pêche
Fisheries resources,Ressources halieutiques
Fisheries technology,Technologie de la pêche
Fishing (Sport),Pêche sportive
Fishing area,Zone de pêche
Fishing permits,Permis de pêche
Fishing rights,Droits de pêche
Fishing ships,Navire de pêche
Fitness,Condition physique
Flags,Drapeau
Fleet management,Gestion du parc automobile
Floods,Inondation
Floors,Plancher
Flora,Flore
Flowcharts,Organigramme
Fluorides,Fluorure
Folk art,Art populaire
Folklore,Folklore
Food,Aliment
Food inspection,Inspection des aliments
Food irradiation,Irradiation des aliments
Food labelling,Étiquetage des aliments
Food policy,Politique alimentaire
Food processing,Transformation des aliments
Food safety,Salubrité des aliments
Food security,Sécurité alimentaire
Food supply,Disponibilités alimentaires
Forage crops,Cultures fourragères
Forecasting,Prévision
Foreign affairs,Affaires étrangères
Foreign aid,Aide à l'étranger
Foreign interference,Ingérence étrangère
Foreign investments,Investissement étranger
Foreign languages,Langue étrangère
Foreign payments,Paiement étranger
Foreign policy,Politique étrangère
Foreign service,Service diplomatique
Foreign students,Étudiant étranger
Forensics,Médecine légale
Forest fires,Incendie de forêt
Forest management,Gestion forestière
Forestry,Foresterie
Forestry industry,Industrie forestière
Forestry policy,Politique forestière
Forestry products,Produit forestier
Forestry technology,Technologie forestière
Forests,Forêt
Forgery,Falsification
Forms,Formulaire
Fossils,Fossile
Foster care placement,Placement en famille d'accueil
Foster children,Enfant en famille d'accueil
Foster families,Famille d'accueil
Franchises,Franchise
Francophonie,Francophonie
Fraud,Fraude
Free trade,Libre-échange
Free trade agreements,Accord de libre-échange
Freedom of information,Liberté d'information
Freight,Fret
French in the workplace,Français au travail
French language,Français
French second language,Français langue seconde
Frequently asked questions,Foire aux questions
Fresh water,Eau douce
Freshwater fish,Poisson d'eau douce
Frigates,Frégate
Fruit crops,Cultures fruitières
Fruits,Fruit
Fuel supply,Disponibilités en combustible
Fuels,Combustible
Fugitives from justice,Fugitif recherché par la justice
Full-time employment,Emploi à temps plein
Functional foods,Aliment fonctionnel
Functions,Fonction
Funding,Financement
Fundraising,Collecte de fonds
Fungi,Champignon
Fungicides,Fongicide
Furniture,Ameublement
Furniture industry,Industrie du meuble
Furs,Fourrure
Future,Futur
Gambling,Jeu de hasard
Game (Wildlife),Gibier
Games,Jeu
Gangs,Gangs
Gardening,Jardinage
Gardens,Jardin
Gas industry,Industrie gazière
Gases,Gaz
Gasoline,Essence
Gay men,Gai
Gay people,Personne gaie
Gazetteers,Répertoire géographique
Gender-nonconforming people,Personne non binaire
Gender discrimination,Discrimination sexuelle
Gender equality,Égalité des sexes
Genealogy,Généalogie
Genetic engineering,Génie génétique
Genetically modified foods,Aliment génétiquement modifié
Genetically modified organisms,Organisme génétiquement modifié
Genetics,Génétique
Genomics,Génomique
Geochemistry,Géochimie
Geochronology,Géochronologie
Geodesy,Géodésie
Geographic data,Données géographiques
Geographic information systems,Système d'information géographique
Geographical maps,Carte géographique
Geography,Géographie
Geological maps,Carte géologique
Geology,Géologie
Geomatics,Géomatique
Geomorphology,Géomorphologie
Geophysics,Géophysique
Geothermal energy,Énergie géothermique
Geriatrics,Gériatrie
Gerontology,Gérontologie
Gift books,Livre cadeau
Glaciers,Glacier
Glass,Verre
Glass industry,Industrie du verre
Global navigation satellite systems,Système mondial de navigation par satellite
Global positioning systems,Système de positionnement global
Global warming,Réchauffement de la planète
Globalization,Mondialisation
Gold,Or
Goods and services tax,Taxe sur les produits et services
Governance,Gouvernance
Government communications,Communications gouvernementales
Government departments,Ministère gouvernemental
Government information,Information gouvernementale
Government leader,Leader du gouvernement
Government libraries,Bibliothèque gouvernementale
Government plans,Plan gouvernemental
Government policy,Politique gouvernementale
Government priorities,Priorité gouvernementale
Government publications,Publication gouvernementale
Government services,Services gouvernementaux
Governments,Gouvernement
Governor General,Gouverneur général
Grain elevators,Silo à grains
Grains,Grain
Grants,Subvention
Grapes,Raisin
Graphic arts,Arts graphiques
Grasslands,Pâturage
Green products,Produit écologique
Greenhouse effect,Effet de serre
Greenhouse gases,Gaz à effet de serre
Greenhouses,Serre
Gross domestic product,Produit intérieur brut
Gross national product,Produit national brut
Groundwater,Eau souterraine
Growth capital,Capital de croissance
Guidelines,Lignes directrices
Habitats,Habitat
Handbooks,Manuel
Handling,Manutention
Harassment,Harcèlement
Harbour authorities,Administration portuaire
Harbours,Port
Hard rocks,Roche dure
Harmonized sales tax,Taxe de vente harmonisée
Harvest,Récolte
Hatcheries,Couveuse
Hazardous materials,Matière dangereuse
Hazardous materials transport,Transport des matières dangereuses
Hazardous waste,Déchets dangereux
Headquarters,Siège social
Health,Santé
Health care,Soins de santé
Health care facilities,Établissement de santé
Health care industry,Industrie des soins de santé
Health care products,Produit de soins de santé
Health care quality,Qualité des soins de santé
Health care system,Système de soins de santé
Health hazards,Risque pour la santé
Health impact,Impact sur la santé
Health indicators,Indicateur de santé
Health insurance,Assurance maladie
Health policy,Politique en matière de santé
Health professionals,Professionnel de la santé
Health promotion,Promotion de la santé
Health protection,Protection de la santé
Health sciences,Sciences de la santé
Hearing disabilities,Déficience auditive
Hearings,Audience
Heating,Chauffage
Helicopters,Hélicoptère
Hepatitis,Hépatite
Heraldry,Héraldique
Herbaria,Herbier
